trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
707,False,"{'a': 0.05, 'e': 0.28148542931320597}",20,13,-30.692853819391857,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
708,False,"{'a': 0.05, 'e': 0.27974030045988635}",20,7,9.109597426705987,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.05, 'e': 0.27799424684549784}",30,18,6.201468092886854,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.05, 'e': 0.27624727424211654}",20,11,-6.876923714559172,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
711,False,"{'a': 0.05, 'e': 0.2744993884248573}",20,0,-0.8280929169222944,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
712,False,"{'a': 0.05, 'e': 0.2727505951718533}",35,23,3.2437513397130555,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.05, 'e': 0.27100090026423734}",20,12,15.873081961552053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.05, 'e': 0.2692503094861237}",20,12,13.233573827811169,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.05, 'e': 0.26749882862458735}",35,12,21.179662723655962,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
716,False,"{'a': 0.05, 'e': 0.2657464634696465}",20,6,-11.126004996548385,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
717,False,"{'a': 0.05, 'e': 0.26399321981424173}",20,8,15.266479284453634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.05, 'e': 0.2622391034542187}",20,1,10.796459632166647,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
719,False,"{'a': 0.05, 'e': 0.2604841201883072}",25,9,-27.687257417511205,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
